text,x0,x1,top,doctop,bottom,upright,height,width,direction,page
WALL,596.8200000000002,617.6802454200001,83.92694118000009,24995.92694118,94.72976117999997,True,10.802819999999883,20.860245419999956,ltr,23
MOUNTED,620.3809504200002,658.0611865800001,83.92694118000009,24995.92694118,94.72976117999997,True,10.802819999999883,37.680236159999936,ltr,23
ROOM,660.7618915800001,683.9447433000001,83.92694118000009,24995.92694118,94.72976117999997,True,10.802819999999883,23.18285172000003,ltr,23
SCHEDULER,686.6454483000001,731.3907287400002,83.92694118000009,24995.92694118,94.72976117999997,True,10.802819999999883,44.7452804400001,ltr,23
LOCATION,734.0914337400002,771.7284586200002,83.92694118000009,24995.92694118,94.72976117999997,True,10.802819999999883,37.63702488000001,ltr,23
AV,1190.94,1200.70574928,83.86694118000014,24995.86694118,94.66976118000002,True,10.802819999999883,9.765749279999909,ltr,23
EQUIPMENT,1203.4064542800002,1246.87700196,83.86694118000014,24995.86694118,94.66976118000002,True,10.802819999999883,43.470547679999754,ltr,23
RACK,1249.5777069600001,1270.04905086,83.86694118000014,24995.86694118,94.66976118000002,True,10.802819999999883,20.471343899999965,ltr,23
45RU,1272.74975586,1292.9294236199999,83.86694118000014,24995.86694118,94.66976118000002,True,10.802819999999883,20.179667759999802,ltr,23
(IN,1295.63012862,1305.4606948199998,83.86694118000014,24995.86694118,94.66976118000002,True,10.802819999999883,9.830566199999794,ltr,23
AV,1308.16139982,1317.9271491,83.86694118000014,24995.86694118,94.66976118000002,True,10.802819999999883,9.765749279999909,ltr,23
CLOSET,1320.6278541,1349.56860888,83.86694118000014,24995.86694118,94.66976118000002,True,10.802819999999883,28.940754780000134,ltr,23
14.004),1352.26931388,1380.62671638,83.86694118000014,24995.86694118,94.66976118000002,True,10.802819999999883,28.357402500000035,ltr,23
CEILING,2864.94,2893.7511209400004,83.86694118000014,24995.86694118,94.66976118000002,True,10.802819999999883,28.811120940000364,ltr,23
MOUNTED,2896.45182594,2934.1320621000004,83.86694118000014,24995.86694118,94.66976118000002,True,10.802819999999883,37.68023616000028,ltr,23
PARTITION,2936.8327671,2975.7769332000003,83.86694118000014,24995.86694118,94.66976118000002,True,10.802819999999883,38.944166100000075,ltr,23
SENSOR,2978.4776382,3008.9956047,83.86694118000014,24995.86694118,94.66976118000002,True,10.802819999999883,30.517966500000057,ltr,23
JT023560,1360.8600000000001,1389.0877164,99.17021790000035,25011.1702179,107.27231790000042,True,8.102100000000064,28.227716399999963,ltr,23
CO,1391.1132414,1399.1910351,99.17021790000035,25011.1702179,107.27231790000042,True,8.102100000000064,8.077793699999802,ltr,23
SMALL,606.1800000000003,625.2280371000003,103.31021790000023,25015.3102179,111.41231790000029,True,8.102100000000064,19.048037099999988,ltr,23
TRAINING,627.2535621000003,653.6096934000003,103.31021790000023,25015.3102179,111.41231790000029,True,8.102100000000064,26.356131300000015,ltr,23
AREA,655.6352184000003,670.6160013000002,103.31021790000023,25015.3102179,111.41231790000029,True,8.102100000000064,14.980782899999895,ltr,23
(14.089),672.6415263000004,695.7325113000003,103.31021790000023,25015.3102179,111.41231790000029,True,8.102100000000064,23.090984999999932,ltr,23
LARGE,881.7000000000003,900.2051964000002,103.31021790000023,25015.3102179,111.41231790000029,True,8.102100000000064,18.50519639999993,ltr,23
TRAINING,902.2307214000002,928.5868527000002,103.31021790000023,25015.3102179,111.41231790000029,True,8.102100000000064,26.356131300000015,ltr,23
AREA,930.6123777000003,945.5931606000003,103.31021790000023,25015.3102179,111.41231790000029,True,8.102100000000064,14.980782900000008,ltr,23
(14.088),947.6186856000003,970.7096706000003,103.31021790000023,25015.3102179,111.41231790000029,True,8.102100000000064,23.090985000000046,ltr,23
**SHARED,1904.5800000000002,1934.7279141000001,116.87021790000017,25028.8702179,124.97231790000023,True,8.102100000000064,30.14791409999998,ltr,23
WITH,1936.7534391000002,1950.9564204000003,116.87021790000017,25028.8702179,124.97231790000023,True,8.102100000000064,14.202981300000147,ltr,23
HOSPITALITY,1952.9819454,1988.4448371,116.87021790000017,25028.8702179,124.97231790000023,True,8.102100000000064,35.4628917,ltr,23
REQUIRES,1912.0800000000002,1939.8377946,125.93021790000012,25037.9302179,134.03231790000018,True,8.102100000000064,27.757794599999897,ltr,23
465W,1941.8633196,1958.1161322000003,125.93021790000012,25037.9302179,134.03231790000018,True,8.102100000000064,16.252812600000198,ltr,23
POE+**,1960.1416572,1982.2036755000001,125.93021790000012,25037.9302179,134.03231790000018,True,8.102100000000064,22.06201830000009,ltr,23
OWNER,731.52,752.5287453,136.97021790000008,25048.9702179,145.07231790000014,True,8.102100000000064,21.008745299999987,ltr,23
FURNISHED,754.5542703,786.3469107,136.97021790000008,25048.9702179,145.07231790000014,True,8.102100000000064,31.792640399999982,ltr,23
OWNER,1001.52,1022.5287453,136.97021790000008,25048.9702179,145.07231790000014,True,8.102100000000064,21.008745299999987,ltr,23
FURNISHED,1024.5542702999999,1056.3469106999999,136.97021790000008,25048.9702179,145.07231790000014,True,8.102100000000064,31.792640399999982,ltr,23
RACK,1894.38,1909.7334795000002,135.71021790000032,25047.7102179,143.81231790000038,True,8.102100000000064,15.353479500000049,ltr,23
MOUNT,1911.7590045000002,1932.5732994000002,135.71021790000032,25047.7102179,143.81231790000038,True,8.102100000000064,20.81429490000005,ltr,23
W/PROVIDED,1934.5988244,1971.0825807,135.71021790000032,25047.7102179,143.81231790000038,True,8.102100000000064,36.483756300000096,ltr,23
BRACKET,1973.1081057000001,1999.1239488,135.71021790000032,25047.7102179,143.81231790000038,True,8.102100000000064,26.015843099999984,ltr,23
CISCO,725.7000000000003,738.1652670000003,151.60085849999996,25063.6008585,157.54235850000032,True,5.94150000000036,12.46526700000004,ltr,23
T10,768.3000000000002,776.1011895000001,151.60085849999996,25063.6008585,157.54235850000032,True,5.94150000000036,7.801189499999964,ltr,23
-,777.5865645000002,778.5669120000002,151.60085849999996,25063.6008585,157.54235850000032,True,5.94150000000036,0.9803474999999935,ltr,23
NAVIGATOR,780.0522870000002,803.7351060000002,151.60085849999996,25063.6008585,157.54235850000032,True,5.94150000000036,23.682818999999995,ltr,23
CISCO,995.7000000000003,1008.1652670000003,151.60085849999996,25063.6008585,157.54235850000032,True,5.94150000000036,12.46526700000004,ltr,23
T10,1038.3000000000002,1046.1011895000004,151.60085849999996,25063.6008585,157.54235850000032,True,5.94150000000036,7.801189500000191,ltr,23
-,1047.5865645000001,1048.5669120000002,151.60085849999996,25063.6008585,157.54235850000032,True,5.94150000000036,0.9803475000001072,ltr,23
NAVIGATOR,1050.0522870000002,1073.7351060000003,151.60085849999996,25063.6008585,157.54235850000032,True,5.94150000000036,23.68281900000011,ltr,23
NETGEAR,1910.22,1929.4526355,151.60085849999996,25063.6008585,157.54235850000032,True,5.94150000000036,19.232635500000015,ltr,23
GSM4248PX,1961.16,1986.494556,151.60085849999996,25063.6008585,157.54235850000032,True,5.94150000000036,25.33455600000002,ltr,23
JT023560,2008.8,2037.0277164,155.69021790000033,25067.6902179,163.7923179000004,True,8.102100000000064,28.227716399999963,ltr,23
CO,2039.0532414,2047.1310350999997,155.69021790000033,25067.6902179,163.7923179000004,True,8.102100000000064,8.077793699999802,ltr,23
CLIENT,643.56,657.8374244999999,162.34085849999974,25074.3408585,168.2823585000001,True,5.94150000000036,14.277424499999938,ltr,23
LAN,659.3227995,667.551777,162.34085849999974,25074.3408585,168.2823585000001,True,5.94150000000036,8.228977500000042,ltr,23
(POE),669.037152,679.9041555,162.34085849999974,25074.3408585,168.2823585000001,True,5.94150000000036,10.86700350000001,ltr,23
RJ45,706.3200000000002,716.7651570000002,162.34085849999974,25074.3408585,168.2823585000001,True,5.94150000000036,10.445156999999995,ltr,23
LAN,748.56,756.7889775,162.40085850000014,25074.4008585,168.3423585000005,True,5.94150000000036,8.228977500000042,ltr,23
(POE),758.2743525,769.141356,162.40085850000014,25074.4008585,168.3423585000005,True,5.94150000000036,10.86700350000001,ltr,23
RJ45,800.94,811.385157,162.34085849999974,25074.3408585,168.2823585000001,True,5.94150000000036,10.445156999999995,ltr,23
CLIENT,913.56,927.8374244999999,162.34085849999974,25074.3408585,168.2823585000001,True,5.94150000000036,14.277424499999938,ltr,23
LAN,929.3227995,937.551777,162.34085849999974,25074.3408585,168.2823585000001,True,5.94150000000036,8.228977500000042,ltr,23
(POE),939.037152,949.9041555,162.34085849999974,25074.3408585,168.2823585000001,True,5.94150000000036,10.86700350000001,ltr,23
RJ45,976.3200000000002,986.7651570000002,162.34085849999974,25074.3408585,168.2823585000001,True,5.94150000000036,10.445156999999995,ltr,23
LAN,1018.56,1026.7889774999999,162.40085850000014,25074.4008585,168.3423585000005,True,5.94150000000036,8.228977499999928,ltr,23
(POE),1028.2743524999998,1039.1413559999999,162.40085850000014,25074.4008585,168.3423585000005,True,5.94150000000036,10.86700350000001,ltr,23
RJ45,1070.94,1081.3851570000002,162.34085849999974,25074.3408585,168.2823585000001,True,5.94150000000036,10.445157000000108,ltr,23
POE,1924.8,1932.9933285,162.40085850000014,25074.4008585,168.3423585000005,True,5.94150000000036,8.193328500000007,ltr,23
BUDGET,1934.4787035,1951.1980844999998,162.40085850000014,25074.4008585,168.3423585000005,True,5.94150000000036,16.719380999999885,ltr,23
=,1952.6834595,1955.3452515000001,162.40085850000014,25074.4008585,168.3423585000005,True,5.94150000000036,2.661792000000105,ltr,23
960W,1956.8306264999999,1968.7492755,162.40085850000014,25074.4008585,168.3423585000005,True,5.94150000000036,11.918649000000187,ltr,23
OFE,688.6800000000003,699.4719972000003,172.13021789999993,25084.1302179,180.2323179,True,8.102100000000064,10.791997199999969,ltr,23
INPUT,725.7000000000003,737.7968940000003,173.14085849999992,25085.1408585,179.08235850000028,True,5.94150000000036,12.09689400000002,ltr,23
OUTPUT,777.5999999999999,794.0638964999999,173.20085849999987,25085.2008585,179.14235850000023,True,5.94150000000036,16.463896500000033,ltr,23
OFE,958.6800000000003,969.4719972000003,172.13021789999993,25084.1302179,180.2323179,True,8.102100000000064,10.791997199999969,ltr,23
INPUT,995.7000000000003,1007.7968940000003,173.14085849999992,25085.1408585,179.08235850000028,True,5.94150000000036,12.09689400000002,ltr,23
OUTPUT,1047.6,1064.0638964999998,173.20085849999987,25085.2008585,179.14235850000023,True,5.94150000000036,16.46389649999992,ltr,23
RJ45,1894.38,1904.8251570000002,173.14085849999992,25085.1408585,179.08235850000028,True,5.94150000000036,10.445157000000108,ltr,23
CONSOLE,1937.16,1956.707535,173.20085849999987,25085.2008585,179.14235850000023,True,5.94150000000036,19.547534999999925,ltr,23
RJ45,1988.94,1999.3851570000002,173.14085849999992,25085.1408585,179.08235850000028,True,5.94150000000036,10.445157000000108,ltr,23
SHARED,2124.54,2147.4284325,180.17021790000035,25092.1702179,188.27231790000042,True,8.102100000000064,22.888432499999908,ltr,23
WITH,2149.4539575,2163.6569388,180.17021790000035,25092.1702179,188.27231790000042,True,8.102100000000064,14.20298129999992,ltr,23
HOSPITALITY,2165.6824638,2201.1453555,180.17021790000035,25092.1702179,188.27231790000042,True,8.102100000000064,35.4628917,ltr,23
RJ45,1894.38,1904.8251570000002,183.9408585000001,25095.9408585,189.88235850000046,True,5.94150000000036,10.445157000000108,ltr,23
OOB,1942.44,1951.3938405000001,184.00085850000005,25096.0008585,189.9423585000004,True,5.94150000000036,8.95384050000007,ltr,23
RJ45,1988.94,1999.3851570000002,183.9408585000001,25095.9408585,189.88235850000046,True,5.94150000000036,10.445157000000108,ltr,23
RACK,2110.38,2125.7334795,189.71021790000032,25101.7102179,197.81231790000038,True,8.102100000000064,15.353479500000049,ltr,23
MOUNT,2127.7590045,2148.5732994,189.71021790000032,25101.7102179,197.81231790000038,True,8.102100000000064,20.814294899999823,ltr,23
W/PROVIDED,2150.5988244,2187.0825807,189.71021790000032,25101.7102179,197.81231790000038,True,8.102100000000064,36.483756300000096,ltr,23
BRACKET,2189.1081057,2215.1239488,189.71021790000032,25101.7102179,197.81231790000038,True,8.102100000000064,26.015843099999984,ltr,23
OWNER,1001.52,1022.5287453,196.37021790000017,25108.3702179,204.47231790000023,True,8.102100000000064,21.008745299999987,ltr,23
FURNISHED,1024.5542702999999,1056.3469106999999,196.37021790000017,25108.3702179,204.47231790000023,True,8.102100000000064,31.792640399999982,ltr,23
USB-C,1894.38,1906.6373145000002,194.80085849999978,25106.8008585,200.74235850000014,True,5.94150000000036,12.25731450000012,ltr,23
-,1908.1226895000002,1909.1030370000003,194.80085849999978,25106.8008585,200.74235850000014,True,5.94150000000036,0.9803475000001072,ltr,23
USB-C,1910.588412,1922.8457265000002,194.80085849999978,25106.8008585,200.74235850000014,True,5.94150000000036,12.25731450000012,ltr,23
-,1924.3311015000002,1925.3114490000003,194.80085849999978,25106.8008585,200.74235850000014,True,5.94150000000036,0.9803475000001072,ltr,23
REAR,1926.796824,1937.8420725,194.80085849999978,25106.8008585,200.74235850000014,True,5.94150000000036,11.04524850000007,ltr,23
USB,1894.38,1902.7872225,205.60085849999996,25117.6008585,211.54235850000032,True,5.94150000000036,8.407222499999989,ltr,23
-,1904.2725975,1905.2529450000002,205.60085849999996,25117.6008585,211.54235850000032,True,5.94150000000036,0.9803475000001072,ltr,23
USB,1906.7383200000002,1915.1455425000001,205.60085849999996,25117.6008585,211.54235850000032,True,5.94150000000036,8.407222499999989,ltr,23
A,1916.6309175000001,1919.4412470000002,205.60085849999996,25117.6008585,211.54235850000032,True,5.94150000000036,2.81032950000008,ltr,23
(3.0)-FRONT,1920.9266220000002,1944.6747975,205.60085849999996,25117.6008585,211.54235850000032,True,5.94150000000036,23.74817549999989,ltr,23
CRESTRON,2124.84,2147.1859815000003,205.60085849999996,25117.6008585,211.54235850000032,True,5.94150000000036,22.345981500000107,ltr,23
CP4N,2184.42,2195.649435,205.60085849999996,25117.6008585,211.54235850000032,True,5.94150000000036,11.22943499999974,ltr,23
CISCO,995.7000000000003,1008.1652670000003,211.00085850000005,25123.0008585,216.9423585000004,True,5.94150000000036,12.46526700000004,ltr,23
T10,1038.3000000000002,1046.1011895000004,211.00085850000005,25123.0008585,216.9423585000004,True,5.94150000000036,7.801189500000191,ltr,23
-,1047.5865645000001,1048.5669120000002,211.00085850000005,25123.0008585,216.9423585000004,True,5.94150000000036,0.9803475000001072,ltr,23
NAVIGATOR,1050.0522870000002,1073.7351060000003,211.00085850000005,25123.0008585,216.9423585000004,True,5.94150000000036,23.68281900000011,ltr,23
LED,1894.38,1902.2049555,216.40085850000014,25128.4008585,222.3423585000005,True,5.94150000000036,7.824955499999987,ltr,23
EXT,1903.6903305,1911.2479185000002,216.40085850000014,25128.4008585,222.3423585000005,True,5.94150000000036,7.557588000000123,ltr,23
-,1912.7332935000002,1913.7136410000003,216.40085850000014,25128.4008585,222.3423585000005,True,5.94150000000036,0.9803475000001072,ltr,23
USB-C,1915.199016,1927.4563305000001,216.40085850000014,25128.4008585,222.3423585000005,True,5.94150000000036,12.25731450000012,ltr,23
-,1928.9417055000001,1929.9220530000002,216.40085850000014,25128.4008585,222.3423585000005,True,5.94150000000036,0.9803475000001072,ltr,23
FRONT,1931.4074280000002,1945.2273570000002,216.40085850000014,25128.4008585,222.3423585000005,True,5.94150000000036,13.819929000000002,ltr,23
RJ45,2110.38,2120.8251569999998,216.34085849999974,25128.3408585,222.2823585000001,True,5.94150000000036,10.445156999999654,ltr,23
LAN,2158.86,2167.0889775,216.34085849999974,25128.3408585,222.2823585000001,True,5.94150000000036,8.228977499999928,ltr,23
RJ45,2204.94,2215.3851569999997,216.34085849999974,25128.3408585,222.2823585000001,True,5.94150000000036,10.445156999999654,ltr,23
CLIENT,2248.1400000000003,2262.4174245000004,216.34085849999974,25128.3408585,222.2823585000001,True,5.94150000000036,14.277424500000052,ltr,23
LAN,2263.9027995,2272.131777,216.34085849999974,25128.3408585,222.2823585000001,True,5.94150000000036,8.228977499999928,ltr,23
CLIENT,913.56,927.8374244999999,221.74085849999983,25133.7408585,227.6823585000002,True,5.94150000000036,14.277424499999938,ltr,23
LAN,929.3227995,937.551777,221.74085849999983,25133.7408585,227.6823585000002,True,5.94150000000036,8.228977500000042,ltr,23
(POE),939.037152,949.9041555,221.74085849999983,25133.7408585,227.6823585000002,True,5.94150000000036,10.86700350000001,ltr,23
RJ45,976.3200000000002,986.7651570000002,221.74085849999983,25133.7408585,227.6823585000002,True,5.94150000000036,10.445156999999995,ltr,23
LAN,1018.56,1026.7889774999999,221.80085849999978,25133.8008585,227.74235850000014,True,5.94150000000036,8.228977499999928,ltr,23
(POE),1028.2743524999998,1039.1413559999999,221.80085849999978,25133.8008585,227.74235850000014,True,5.94150000000036,10.86700350000001,ltr,23
RJ45,1070.94,1081.3851570000002,221.74085849999983,25133.7408585,227.6823585000002,True,5.94150000000036,10.445157000000108,ltr,23
RJ45,1894.38,1904.8251570000002,227.14085849999992,25139.1408585,233.08235850000028,True,5.94150000000036,10.445157000000108,ltr,23
LAN,1933.14,1941.3689775,227.20085849999987,25139.2008585,233.14235850000023,True,5.94150000000036,8.228977499999928,ltr,23
1,1942.8543525,1945.5161445,227.20085849999987,25139.2008585,233.14235850000023,True,5.94150000000036,2.661792000000105,ltr,23
(POE+),1947.0015195,1960.5303150000002,227.20085849999987,25139.2008585,233.14235850000023,True,5.94150000000036,13.528795500000115,ltr,23
